Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
M140,U16,Day05,2021-08-02,2,454,17.93333333,0.5223624,0.12106697,0.49375575,0.569668364,0.213388454,55.62737196,0.44861,0
M136,U16,Day06,2021-08-03,2,601,17,0.5514493,0.23743744,0.39420327,0.674446237,0.221180168,52.45478245,0.30809,0.6459779
M143,U16,Day08,2021-08-05,2,520,15.4,0.5368881,0.13612772,0.48124198,0.764356394,0.462317063,47.20622817,0.16873,0.199805552
M142,U16,Day09,2021-08-06,3,437,22.4,0.525881,0.1121365,0.47281205,0.58286655,0.200172344,54.20615311,0.21885,0.680385385
M141,U16,Day10,2021-08-07,3,478,20.36666667,0.5333453,0.08978645,0.47311174,0.608367109,0.171717291,55.76544021,0.33452,0
M144,U16,Day11,2021-08-08,3,504,18.2,0.5473298,0.11686671,0.47472282,0.655976533,0.16204531,59.46039882,0.20438,1.166393844
M139,U16,Day12,2021-08-09,3,432,17.4,0.532826,0.09507906,0.46072079,0.607168982,0.176954065,54.59459991,0.17331,0.720759321
M138,U16,Day15,2021-08-12,4,515,14.46666667,0.540166,0.1340723,0.48018216,0.634179576,0.180767008,57.40950099,0.14278,2.386947209
M150,U17,Day02,2021-07-30,1,470,14.73333333,0.5285807,0.1684982,0.70976138,0.592643001,0.225598597,79.60297125,0.29222,0.768440331
M145,U17,Day03,2021-07-31,1,562,16.5,0.5182032,0.13930049,0.53128994,0.553594043,0.23468323,58.4808378,0.79309,0.644156535
M146,U17,Day05,2021-08-02,2,460,18.66666667,0.5294667,0.18305259,0.45240229,0.600917969,0.235282821,53.61867777,0.24316,1.109179223
M151,U17,Day07,2021-08-04,2,473,17.9,0.5323716,0.10570669,0.59075108,0.603851441,0.181497313,67.96761591,0.23435,0
M153,U17,Day09,2021-08-06,3,430,16.66666667,0.5392675,0.10058243,0.52765424,0.628380943,0.167166809,63.47372235,0.19797,1.616176632
M149,U17,Day10,2021-08-07,3,468,18.46666667,0.5368246,0.09787146,0.71028065,0.617698413,0.163464325,80.28393862,0.14317,1.422656793
M147,U17,Day11,2021-08-08,3,419,17.46666667,0.5504994,0.07953635,0.4844101,0.663385674,0.138337886,61.53321115,0.16732,0.759632738
M152,U17,Day13,2021-08-10,4,386,20.66666667,0.545986,0.09379766,0.44717421,0.65077083,0.153321727,56.12015042,0.17421,0.70252034
